,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,27897990#2,25877237#2-AddedOnRampEdge,9.054428746813342,1.0,4.0,25.0,104.0,142.0,219.0,290.0,372.0,393.0,423.0,5001
1,24694986,-322842867#4,1.797207967336467,131.0,156.0,361.0,435.0,449.0,479.0,370.0,272.0,200.0,155.0,4511
2,-28663731#1,175691412,0.8976585948630783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,121897327,27858627#0,2.04023559332968,233.0,625.0,978.0,728.0,688.0,434.0,289.0,187.0,127.0,79.0,4608
4,164719711#0,128364005,1.558943041087549,3.0,1.0,2.0,2.0,3.0,8.0,5.0,9.0,6.0,2.0,41
5,30103582#2,27339585#3,1.034664289937869,6.0,10.0,30.0,67.0,83.0,80.0,67.0,41.0,12.0,8.0,407
6,121996216,371547851,2.742370371103523,88.0,166.0,445.0,537.0,522.0,545.0,516.0,446.0,387.0,343.0,4973
7,24210659#1,1106372447#0,2.606730730654893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,122279670#3,211042716,1.2269878995236965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,-50640017,123974277#6,0.8171475454188017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,131476997#1,27635134#0,5.740003880833857,8.0,137.0,474.0,750.0,889.0,658.0,519.0,398.0,376.0,291.0,5001
11,28039965#0,43129262,9.489636276457489,115.0,226.0,173.0,201.0,212.0,208.0,222.0,242.0,310.0,379.0,4998
12,-28663778#4,28663916#0,0.7164741689714221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,164719711#0,-22897852#3,2.2903761768080915,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
14,-103968781,123974277#8,13.766836852272077,67.0,101.0,105.0,126.0,189.0,206.0,182.0,300.0,387.0,475.0,4996
15,164719711#0,29267682#2,1.1656999952340643,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
16,-24224587#1,23646280#0,8.765831876407834,10.0,56.0,180.0,318.0,529.0,830.0,868.0,766.0,563.0,368.0,5001
17,32572650,28272871,28.322009538978826,16.0,48.0,107.0,204.0,203.0,238.0,256.0,335.0,425.0,490.0,5001
18,24210659#1,-29267682#0,17.271604501763484,71.0,177.0,207.0,255.0,294.0,315.0,329.0,385.0,366.0,393.0,4997
19,197448006,123974277#7,14.107045468137724,51.0,119.0,168.0,258.0,297.0,373.0,404.0,397.0,353.0,358.0,4831
20,236738479,27856820#3,1.6316717981682138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,27237591,119566728#1,12.804429272959732,12.0,43.0,110.0,214.0,258.0,292.0,338.0,423.0,533.0,642.0,5001
22,29249215#4,197448013,8.759535729279266,2.0,6.0,40.0,112.0,162.0,234.0,317.0,389.0,438.0,463.0,5001
23,189558640,126957344,19.155413948704663,2.0,20.0,106.0,309.0,530.0,780.0,781.0,698.0,580.0,426.0,5001
24,164719711#0,-29267890#4,0.793873355139352,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
25,-26804822#10,48198623#0,0.79624137835889,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26,24210659#1,28806633,2.923621915325056,92.0,508.0,796.0,732.0,646.0,481.0,315.0,117.0,30.0,6.0,3723
27,164719711#0,23265430#0,3.7627755613645766,52.0,241.0,436.0,625.0,606.0,425.0,313.0,209.0,172.0,163.0,3710
28,164719711#0,128130485#4,0.8038598858833303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,32572650,28428961#4,28.04530055362176,1.0,8.0,31.0,121.0,302.0,526.0,662.0,691.0,630.0,548.0,5001
30,-103271284,51036726,1.1182606755458675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31,-1033010509#1,99475427,0.7129613210517352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
32,-26967910#3,-31870361#1,1.4111433071884132,4.0,2.0,6.0,7.0,5.0,5.0,6.0,1.0,4.0,2.0,44
33,164719711#0,203041011,7.439236844492255,19.0,90.0,141.0,197.0,314.0,435.0,429.0,559.0,544.0,517.0,5000
34,32572650,73369996#0,24.025620140636065,1.0,25.0,115.0,260.0,340.0,413.0,508.0,507.0,511.0,490.0,5001
35,30694792#0,-27923238,1.2876204582288695,11.0,49.0,103.0,243.0,356.0,327.0,236.0,141.0,87.0,41.0,1635
36,99435320#0,208980095,0.681423964220047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,-29470677#0,202613739#0,0.6948350707689064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38,164719711#0,-291263469,1.3225805697090078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39,-51036726,50639092,0.997739067227038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40,32572650,204514072,28.55543613490505,1.0,5.0,20.0,105.0,295.0,469.0,636.0,647.0,636.0,511.0,5001
41,32572650,24874242#3,18.05230126867091,80.0,271.0,422.0,570.0,743.0,657.0,534.0,420.0,308.0,227.0,5001
42,24210659#1,25877237#2-AddedOnRampEdge,17.204978884776295,79.0,155.0,252.0,266.0,288.0,323.0,354.0,376.0,396.0,403.0,4989
43,60957740,229645768,1.001164223908688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,28769085#0,-27027040#2,14.134548548117822,1.0,1.0,18.0,109.0,316.0,558.0,796.0,846.0,745.0,575.0,5001
45,-29470677#0,30965269,0.8019203699599058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
46,237797691#0,35302147#0-AddedOffRampEdge,16.30165935704968,1.0,1.0,9.0,52.0,176.0,329.0,544.0,665.0,660.0,678.0,5001
47,189536584,-121997934,1.363964934552879,19.0,27.0,38.0,86.0,130.0,235.0,218.0,237.0,218.0,250.0,2199
48,-190043645#0,27343687#2,0.7974960616731959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49,-96898361#1,1080795535#1,0.9965795469044564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50,164719711#0,26811449#0,7.977848951941654,20.0,68.0,114.0,226.0,310.0,440.0,536.0,600.0,555.0,517.0,4999
51,572824576#0,209059664#1,3.202869162595119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
52,-123974277#8,182783200#1-AddedOnRampEdge,0.642376312481216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,28686747,-49885431#0,0.9652794012560768,1.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,12
54,28769085#0,-29267812#3,18.041465399133344,29.0,112.0,217.0,215.0,211.0,242.0,299.0,311.0,319.0,355.0,5001
55,164719711#0,96898359#2,8.43424276298138,2.0,31.0,144.0,401.0,752.0,886.0,896.0,713.0,482.0,301.0,5001
56,164719711#0,148634412,3.466164551200535,14.0,49.0,133.0,258.0,302.0,243.0,147.0,207.0,205.0,271.0,3061
57,27620679#0,-103271274,7.835613418474627,162.0,562.0,804.0,819.0,834.0,753.0,517.0,300.0,140.0,56.0,4999
58,164719711#0,247680448,16.926617991263267,1.0,5.0,14.0,80.0,254.0,479.0,699.0,765.0,715.0,571.0,5001
59,164719711#0,25877237#2-AddedOnRampEdge,0.8800355368641686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60,-102155244,22815357,1.2753566664661966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
61,212079239,-35436424,1.0697719521439824,4.0,6.0,22.0,27.0,30.0,50.0,55.0,54.0,43.0,60.0,478
62,146715460,35302147#0-AddedOffRampEdge,8.830585353148466,2.0,7.0,36.0,100.0,179.0,267.0,375.0,438.0,507.0,503.0,5001
63,-190028512#1,-25699711,4.695861413190672,32.0,159.0,219.0,274.0,347.0,516.0,556.0,536.0,530.0,463.0,4997
64,102613776#4,-29267812#3,8.13846922618559,2.0,9.0,74.0,276.0,528.0,644.0,714.0,709.0,597.0,468.0,5001
65,32572650,128167840#0,10.188905179258107,29.0,90.0,418.0,382.0,483.0,436.0,458.0,373.0,284.0,223.0,3700
66,197448006,102613776#4,8.828303893205037,1.0,21.0,79.0,205.0,358.0,495.0,559.0,654.0,644.0,522.0,5001
67,-64935233#1,-27036649#0,0.601381337453997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
68,95126794#0,128926563,11.331119544435138,52.0,95.0,215.0,398.0,528.0,614.0,698.0,677.0,565.0,407.0,4939
69,27523817#3,-27523884#2,1.1158902577631435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
70,22944650#0,879819015,1.7312623465100263,5.0,38.0,138.0,311.0,430.0,561.0,580.0,538.0,435.0,335.0,4124
71,197448006,196279823,14.085146731611564,52.0,115.0,153.0,243.0,287.0,362.0,442.0,391.0,378.0,329.0,4845
72,164719711#0,41761194#1,18.357845487263795,15.0,75.0,158.0,190.0,277.0,242.0,297.0,310.0,331.0,337.0,4997
73,-24276501,123974277#10,2.475230560315988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
74,-27420420#0,199412757#0,1.2865773005116776,30.0,149.0,261.0,405.0,395.0,355.0,269.0,182.0,125.0,75.0,2339
75,27898099#2,-27786759#1,6.430300937546609,1.0,9.0,45.0,132.0,249.0,352.0,446.0,506.0,575.0,545.0,5001
76,27421113#0,29470613#0,23.25064830891821,1.0,10.0,67.0,201.0,422.0,623.0,687.0,665.0,610.0,445.0,5001
77,184767417,-121962571#11,11.520199028568928,75.0,136.0,305.0,627.0,851.0,820.0,688.0,582.0,392.0,233.0,4982
78,32572650,-39317217#5,23.611081929702,2.0,32.0,132.0,263.0,341.0,456.0,506.0,473.0,473.0,429.0,5001
79,-103968781,160842886#0,19.31730743047968,1.0,0.0,2.0,22.0,103.0,284.0,478.0,697.0,676.0,631.0,5001
80,121455916#2,-51036726,9.702247128774962,23.0,162.0,174.0,161.0,180.0,181.0,268.0,277.0,353.0,331.0,5001
81,-177923620#0,1071661236#0,2.3377796621924296,84.0,398.0,636.0,628.0,690.0,520.0,411.0,311.0,205.0,138.0,4303
82,-50640019,-123974277#5,1.076546529416018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
83,197448006,103271284,14.16700078595846,51.0,119.0,176.0,272.0,300.0,364.0,450.0,380.0,364.0,331.0,4841
84,-211042715,-123974277#5,16.233546068842767,1.0,16.0,149.0,335.0,553.0,644.0,603.0,592.0,588.0,535.0,5001
85,-119227708#2,25699643,4.29907468708549,74.0,175.0,198.0,288.0,348.0,354.0,508.0,670.0,540.0,412.0,4665
86,-27799306,572824576#0,24.54097579509728,1.0,3.0,17.0,161.0,384.0,556.0,636.0,718.0,633.0,519.0,5001
87,572824576#0,-179445663,17.29591391147419,82.0,183.0,245.0,283.0,310.0,336.0,345.0,371.0,388.0,383.0,4999
88,197448006,-123974277#4,13.92139537343468,47.0,109.0,165.0,226.0,305.0,306.0,420.0,401.0,376.0,326.0,4849
89,-126510656,-50640019,10.149634149590629,33.0,161.0,160.0,126.0,162.0,186.0,215.0,258.0,326.0,310.0,5001
90,32572650,27897990#3,15.322418964717054,111.0,240.0,402.0,600.0,665.0,558.0,496.0,398.0,376.0,311.0,5001
91,128321248#0,-23786387#2,7.184312706186216,2.0,37.0,119.0,306.0,453.0,581.0,628.0,620.0,565.0,511.0,5001
92,197448006,232427894,10.177249586635316,2.0,12.0,63.0,70.0,158.0,249.0,324.0,414.0,484.0,522.0,5001
93,-27413552#3,572824576#0,18.845545854254265,1.0,1.0,50.0,240.0,564.0,837.0,949.0,893.0,666.0,405.0,5001
94,-28686628#2,760545480#1,1.0618233245025834,7.0,10.0,16.0,33.0,26.0,23.0,27.0,17.0,16.0,13.0,194
95,197448006,665218406#0,17.836796879209572,22.0,86.0,169.0,235.0,299.0,294.0,319.0,347.0,343.0,406.0,4981
96,28279584#0,25877237#2-AddedOnRampEdge,16.74413151729425,76.0,204.0,282.0,321.0,326.0,382.0,429.0,415.0,447.0,491.0,4995
97,27421113#0,132617719#1,23.28473137353332,1.0,4.0,70.0,222.0,504.0,658.0,740.0,632.0,497.0,475.0,5001
98,26153682,27897990#2,8.723308069098264,4.0,14.0,60.0,101.0,200.0,346.0,381.0,467.0,485.0,551.0,5001
99,164719711#0,-29267682#1,1.0615060240789536,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
100,27632706,28686798,1.166628136923489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
101,198631312,-29267812#3,8.944152371362854,104.0,401.0,733.0,887.0,840.0,693.0,458.0,251.0,165.0,68.0,4676
102,15451994#7,-20904928,1.085467801764753,25.0,115.0,249.0,410.0,535.0,568.0,509.0,400.0,234.0,170.0,3364
103,169506726#2,-20909437,1.0693881597660748,39.0,118.0,313.0,399.0,434.0,379.0,315.0,259.0,149.0,96.0,2628
104,164719711#0,128364005,1.558943041087549,3.0,1.0,2.0,2.0,3.0,8.0,7.0,9.0,8.0,1.0,44
105,32601842,-27494151,17.987903243193472,52.0,285.0,430.0,610.0,681.0,680.0,555.0,409.0,330.0,211.0,5001
106,-107562635#1,-25699711,4.178413950372627,112.0,185.0,198.0,281.0,408.0,449.0,445.0,423.0,421.0,370.0,4833
107,-24391309,123974277#10,0.8606587110030698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
108,-95464814#2,233019082#1,9.627631203651555,51.0,223.0,306.0,588.0,768.0,819.0,647.0,526.0,393.0,286.0,4996
109,-23322316#2,128321280,5.900801954810218,164.0,214.0,321.0,404.0,415.0,539.0,527.0,598.0,544.0,434.0,4988
110,168697722,27249970#0,1.167718895234638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
111,-107562660#1,-291263469,4.468666859167093,41.0,124.0,201.0,284.0,392.0,379.0,428.0,451.0,463.0,417.0,4721
112,36906092#0,-29267682#0,8.75327704362468,3.0,7.0,28.0,95.0,173.0,276.0,375.0,501.0,543.0,600.0,5001
113,-564043114,28004486,9.280164456951718,16.0,63.0,167.0,269.0,362.0,391.0,395.0,400.0,407.0,370.0,5001
114,-997238473#1,27858652,1.3898733258056442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
115,-26943247,-25699711,16.88114393453763,1.0,0.0,1.0,16.0,66.0,222.0,445.0,687.0,766.0,768.0,5001
116,-187233974#2,24186920#2,0.9822037884960256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
117,-356999799#1,39501814,11.926464906010924,37.0,147.0,265.0,507.0,750.0,809.0,638.0,546.0,452.0,300.0,4976
118,-1122924583#3,77666171,19.19249135885276,1.0,0.0,1.0,30.0,121.0,353.0,561.0,716.0,709.0,644.0,5001
119,132617723#2,26153682,9.165222364178716,48.0,260.0,522.0,734.0,803.0,709.0,539.0,419.0,309.0,186.0,4800
120,49343407#0,35302147#0-AddedOffRampEdge,18.00647068706134,18.0,62.0,77.0,78.0,75.0,189.0,341.0,495.0,653.0,647.0,5001
121,197448006,-286345416#1,19.35763729590697,1.0,0.0,7.0,46.0,133.0,332.0,487.0,631.0,688.0,616.0,5001
122,104917130,239773252,0.4579247737530932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
123,24210659#1,29267682#2,17.257532064830567,65.0,185.0,265.0,285.0,245.0,298.0,348.0,342.0,330.0,359.0,5001
124,20909437,177923620#1,1.0286348756112975,4.0,29.0,47.0,70.0,81.0,97.0,144.0,224.0,258.0,275.0,1587
125,183567731,29267682#1,8.969289883503794,2.0,3.0,37.0,90.0,175.0,284.0,379.0,473.0,529.0,518.0,5001
126,27856786,28004463#0,8.951459566008715,24.0,90.0,233.0,346.0,436.0,456.0,437.0,457.0,457.0,410.0,5000
127,107562660#0,128364009#3,4.194125672500775,110.0,229.0,321.0,473.0,617.0,625.0,646.0,535.0,413.0,310.0,4956
128,32572650,-123974278,7.450770854777987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
129,51032644#1,99475435,1.0367900221163813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
130,197448006,222477736,17.91337476633264,18.0,123.0,182.0,231.0,311.0,299.0,313.0,338.0,362.0,387.0,4970
131,-28279821#4,648559478#0,4.988979569291837,53.0,139.0,158.0,166.0,195.0,306.0,329.0,309.0,293.0,316.0,4320
132,-207244720,-50640019,10.065758867897566,26.0,134.0,161.0,154.0,160.0,190.0,257.0,283.0,293.0,367.0,5001
133,-27336647#0,27340157,0.9423303663853002,9.0,17.0,42.0,58.0,62.0,96.0,55.0,56.0,29.0,18.0,454
134,164719711#0,28769085#0,18.35522069619334,22.0,82.0,180.0,238.0,256.0,261.0,311.0,305.0,335.0,358.0,5000
135,197448006,23484576,11.337919409637896,7.0,73.0,222.0,355.0,422.0,485.0,545.0,578.0,552.0,430.0,5001
136,247990380#6,121906073#0,0.7074428549090324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,-146715450#1,-128321241#0,4.392894732464163,75.0,199.0,244.0,377.0,599.0,659.0,582.0,457.0,380.0,328.0,4972
138,34585181#0,271430263,0.7054748901954866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
139,22735030#1,119566726#0,5.657508505870921,113.0,193.0,265.0,261.0,257.0,265.0,257.0,292.0,368.0,432.0,4755
140,222477863#0,124053211#0,16.61436522475819,3.0,8.0,38.0,95.0,202.0,387.0,530.0,602.0,563.0,558.0,5001
141,-24391309,-123974277#4,1.269055893749888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
142,-27898220#1,137110196,7.706033670132048,3.0,19.0,148.0,330.0,562.0,702.0,706.0,652.0,580.0,408.0,5001
143,-185168248#2,25699710#1,4.283092310530027,192.0,413.0,377.0,324.0,402.0,488.0,446.0,368.0,286.0,244.0,4962
144,164719711#0,24210659#1,17.55397883255839,41.0,133.0,278.0,391.0,395.0,414.0,394.0,465.0,423.0,419.0,4999
145,164719711#0,572824576#0,17.55397883255839,48.0,191.0,308.0,396.0,398.0,394.0,442.0,457.0,433.0,428.0,4994
146,121897335#8,25657817#2,1.6253364024140429,9.0,42.0,173.0,292.0,382.0,416.0,419.0,395.0,355.0,294.0,3641
147,153362850,48520558#0,5.9712157089214735,11.0,92.0,173.0,242.0,318.0,433.0,478.0,501.0,460.0,392.0,4999
148,24210659#1,22735086,4.502008559460509,41.0,27.0,12.0,3.0,19.0,298.0,700.0,616.0,406.0,193.0,2636
149,227764344,-212517335,1.1553193712495613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
150,164719711#0,222477736,18.31709136877665,22.0,71.0,160.0,225.0,258.0,302.0,337.0,321.0,336.0,399.0,4998
151,572824576#0,76564785,4.625816026481125,23.0,16.0,10.0,3.0,14.0,323.0,686.0,549.0,355.0,212.0,2556
152,32572650,-156555182,9.911816942073736,19.0,96.0,358.0,380.0,484.0,454.0,419.0,376.0,266.0,231.0,3509
153,164719711#11,102188158,2.207062382321995,4.0,0.0,2.0,16.0,25.0,43.0,49.0,59.0,80.0,68.0,606
154,27896789,-121909177#0,9.10722689374065,19.0,110.0,175.0,320.0,344.0,401.0,425.0,421.0,390.0,361.0,5000
155,128364009#3,24163251#1,14.461498034694058,1.0,0.0,4.0,50.0,144.0,351.0,593.0,733.0,774.0,696.0,5001
156,-560990326#0,25699682,2.2080697916382714,207.0,72.0,69.0,71.0,98.0,64.0,24.0,33.0,11.0,5.0,654
157,132617720,29470677#0,0.8693425289627753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
158,32572650,27920581,12.205547961926948,117.0,478.0,874.0,803.0,587.0,444.0,361.0,322.0,255.0,207.0,4983
159,24210659#1,-209059664#2,2.9159671968696115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160,-615138808#2,164719711#12,17.683229403400716,14.0,66.0,60.0,63.0,94.0,201.0,385.0,518.0,639.0,731.0,5001
161,187233978#0,27065825#0,2.7035344774136503,23.0,268.0,632.0,740.0,662.0,535.0,416.0,368.0,306.0,231.0,4970
162,163574453#7,34383824,6.515856368252905,3.0,8.0,51.0,120.0,215.0,307.0,381.0,473.0,476.0,524.0,5001
163,25699682,23914020#2,13.88222287918096,1.0,0.0,11.0,72.0,259.0,478.0,663.0,777.0,734.0,591.0,5001
164,33622069,309057300#0,1.116803125879557,18.0,48.0,136.0,124.0,136.0,55.0,30.0,32.0,23.0,16.0,634
165,208624935#0,30299120#0,1.612510938487538,6.0,17.0,58.0,130.0,215.0,268.0,193.0,137.0,69.0,35.0,1219
166,32601842,179456734,14.40512330914058,141.0,230.0,432.0,557.0,595.0,550.0,466.0,451.0,401.0,354.0,4998
167,164719711#0,27466927#0,10.128617537392708,1.0,4.0,30.0,81.0,183.0,264.0,360.0,453.0,475.0,531.0,5001
168,189465651#0,132617717#2,18.933836060473062,1.0,24.0,100.0,250.0,468.0,730.0,879.0,736.0,597.0,406.0,5001
169,164719711#0,197448013,0.9740276672918448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
170,93997049,-366644067,1.84243653366784,37.0,196.0,413.0,308.0,131.0,42.0,56.0,244.0,233.0,158.0,2043
171,28749869#0,124643470,17.213535612364844,1.0,10.0,38.0,95.0,191.0,380.0,531.0,580.0,585.0,577.0,5001
172,-28279821#4,648559478#1,5.004549518266586,51.0,132.0,131.0,159.0,186.0,266.0,306.0,320.0,316.0,286.0,4440
173,148359926,69922465,1.217892382473581,7.0,24.0,66.0,124.0,192.0,208.0,210.0,198.0,106.0,90.0,1365
174,122763953#0,123974277#6,0.9559244916513876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
175,-123029722#0,24391309,8.858313449981907,21.0,165.0,339.0,423.0,470.0,452.0,452.0,467.0,468.0,469.0,4995
176,32601842,124198528#0,23.893231795048024,4.0,24.0,137.0,254.0,361.0,447.0,513.0,519.0,494.0,442.0,5001
177,32572650,-24210584#17,29.47377049626417,6.0,13.0,40.0,99.0,134.0,161.0,189.0,232.0,306.0,437.0,5001
178,110874356#4,-28573808#0,5.520859584848191,10.0,32.0,91.0,157.0,274.0,435.0,541.0,544.0,580.0,540.0,5001
179,-681032209,123861936#1,5.727832571394811,4.0,70.0,343.0,661.0,776.0,780.0,662.0,530.0,425.0,305.0,5001
180,-130302450,26585997#0,0.8150290421933392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
181,164719711#0,26800859#0,17.19474579347257,1.0,0.0,15.0,111.0,274.0,493.0,694.0,729.0,671.0,563.0,5001
182,201286263#0,123974278,4.734146437487497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
183,-154928095#4,-50640019,8.60849986974978,92.0,153.0,249.0,208.0,199.0,202.0,271.0,266.0,305.0,365.0,5001
184,33533865,28326042,1.1925960693437283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
185,997114670#0,124195113#0,1.28946774038354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
186,164719711#0,-48135109#3,10.367652500215248,1.0,4.0,22.0,71.0,140.0,207.0,300.0,397.0,495.0,531.0,5001
187,197448006,123914555#0,8.956851863688671,2.0,13.0,71.0,250.0,418.0,545.0,692.0,770.0,675.0,497.0,5001
188,30966481,-29267812#3,8.969485713451297,66.0,427.0,752.0,932.0,907.0,669.0,440.0,295.0,164.0,87.0,4835
189,24210659#1,-151402287#10,6.507820411623351,14.0,264.0,489.0,667.0,848.0,817.0,702.0,497.0,339.0,188.0,4998
190,-24210584#18,-29267812#3,18.042012400216883,38.0,121.0,193.0,218.0,222.0,257.0,264.0,271.0,310.0,332.0,5000
191,100968568,-190022897,13.874386100141464,1.0,7.0,40.0,179.0,358.0,575.0,795.0,818.0,783.0,556.0,5001
192,164719711#0,665218406#0,18.239910422028583,22.0,91.0,123.0,206.0,290.0,300.0,304.0,324.0,355.0,335.0,4998
193,27340302#4,27339246,0.693745395579018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
194,30830791,29470677#1,0.9791376746992696,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9
195,572824576#0,-29267682#0,17.271604501763484,101.0,185.0,233.0,275.0,310.0,320.0,330.0,381.0,384.0,409.0,4997
196,197448006,-95464808#5,17.452110196627537,1.0,0.0,16.0,117.0,292.0,521.0,636.0,657.0,654.0,596.0,5001
197,-27458748#2,129889575#1,0.8703391047333707,3.0,1.0,2.0,11.0,15.0,17.0,20.0,21.0,17.0,6.0,118
198,167447752,-26945023#5,1.056667388118517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
199,193808684#0,196782702,12.11922437184755,22.0,84.0,152.0,280.0,367.0,397.0,462.0,464.0,540.0,548.0,5001
200,112319557#4,-51036726,9.539450105597387,22.0,138.0,173.0,154.0,176.0,147.0,187.0,263.0,313.0,337.0,5001
201,24210659#1,-179445663,17.29591391147419,76.0,205.0,233.0,282.0,277.0,313.0,329.0,339.0,394.0,373.0,4996
202,32601842,-27359167,11.539991943330296,55.0,289.0,580.0,629.0,723.0,714.0,542.0,366.0,272.0,195.0,4589
203,253776080#0,24152344#0,1.3694751915466667,9.0,9.0,17.0,31.0,43.0,61.0,55.0,36.0,36.0,75.0,1279
204,-50639092,-24391388,0.9901868115040594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
205,24210659#1,-205393571#8,2.9507864810468227,44.0,407.0,722.0,690.0,596.0,505.0,273.0,97.0,28.0,6.0,3368
206,-36806555#2,25699643,4.847599192349834,61.0,101.0,114.0,194.0,304.0,385.0,463.0,562.0,652.0,571.0,4980
207,33205810#0,77168998#0,0.7987711983687624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
208,27922755#0,-363269842#0,2.636250994885379,200.0,1074.0,1018.0,757.0,522.0,467.0,273.0,188.0,89.0,62.0,4745
209,232148105#0,-196928951,2.336853264740848,210.0,1062.0,1525.0,1089.0,532.0,272.0,105.0,42.0,23.0,10.0,4872
210,-103968781,-25699679#1,2.4041975038126764,12.0,18.0,14.0,26.0,49.0,47.0,34.0,19.0,18.0,8.0,254
211,-112319557#5,-24391388,9.46958298454391,26.0,123.0,155.0,159.0,160.0,200.0,219.0,306.0,309.0,336.0,5001
212,28782741#0,29267682#2,17.595767704938883,40.0,118.0,164.0,210.0,218.0,246.0,250.0,249.0,286.0,308.0,5000
213,-50640017,212517335,0.8171475454188017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
214,25699710#1,27785508#0,4.368423252432178,3.0,122.0,280.0,502.0,658.0,592.0,468.0,383.0,341.0,334.0,4976
